"""x""","""y""","""z""","""dJ/dx""","""dJ/dy""","""dJ/dz"""
0.8738524579,-0.0050259538,0.0,-1.4514934387e-04,4.2436664281e-04,0.0
0.8790471501,-0.0047327274,0.0,-1.4625493052e-04,3.7953764875e-04,0.0
0.8841473758,-0.0044494096,0.0,-1.2535862148e-04,4.1328869008e-04,0.0
0.8891518640,-0.0041760127,0.0,-1.1889653014e-04,2.7952543322e-04,0.0
0.8940593673,-0.0039125353,0.0,-1.1498502097e-04,2.1287588447e-04,0.0
0.8988686628,-0.0036589628,0.0,-1.1158831201e-04,3.6504533142e-04,0.0
0.9035785519,-0.0034152671,0.0,-1.3609396532e-04,3.4249748763e-04,0.0
0.9081878607,-0.0031814071,0.0,-1.2642808270e-04,3.2783882508e-04,0.0
0.9126954406,-0.0029573285,0.0,-8.2916430620e-05,2.3216231565e-04,0.0
0.9171001681,-0.0027429640,0.0,-8.2206461347e-05,2.3200248780e-04,0.0
0.9214009455,-0.0025382334,0.0,-1.1246764031e-04,3.0204641815e-04,0.0
0.9255967009,-0.0023430439,0.0,-1.0889352181e-04,3.1576004554e-04,0.0
0.9296863887,-0.0021572903,0.0,-1.1576297222e-04,3.7257476388e-04,0.0
0.9336689897,-0.0019808548,0.0,-8.1761339098e-05,2.8707991618e-04,0.0
0.9375435112,-0.0018136075,0.0,-8.2264553662e-05,2.0287949687e-04,0.0
0.9413089878,-0.0016554069,0.0,-1.0256188236e-04,3.6744317481e-04,0.0
0.9449644809,-0.0015060992,0.0,-8.8608825401e-05,2.6466130926e-04,0.0
0.9485090795,-0.0013655197,0.0,-1.0618190856e-04,1.5426731339e-04,0.0
0.9519419002,-0.0012334921,0.0,-8.8722230343e-05,2.9578160444e-04,0.0
0.9552620876,-0.0011098291,0.0,-7.4649074112e-05,3.6392567589e-04,0.0
0.9584688141,-0.0009943327,0.0,-9.9030560523e-05,2.6723857467e-04,0.0
0.9615612806,-0.0008867947,0.0,-8.0241648393e-05,2.5768240643e-04,0.0
0.9645387163,-0.0007869964,0.0,-7.2210779006e-05,2.0443565776e-04,0.0
0.9674003792,-0.0006947094,0.0,-1.0119613674e-04,3.3095070842e-04,0.0
0.9701455561,-0.0006096958,0.0,-9.0714426030e-05,2.1267101440e-04,0.0
0.9727735630,-0.0005317082,0.0,-1.0933624155e-04,3.7709878550e-04,0.0
0.9752837447,-0.0004604906,0.0,-7.9110295310e-05,2.1961171628e-04,0.0
0.9776754758,-0.0003957783,0.0,-6.2281628889e-05,2.8846012199e-04,0.0
0.9799481601,-0.0003372983,0.0,-6.0883938476e-05,2.6256089060e-04,0.0
0.9821012313,-0.0002847699,0.0,-8.9731494498e-05,1.8350887100e-04,0.0
0.9841341527,-0.0002379049,0.0,-1.0220288389e-04,3.4287485441e-04,0.0
0.9860464178,-0.0001964077,0.0,-5.4372802127e-05,1.8618735010e-04,0.0
0.9878375499,-0.0001599763,0.0,-6.7545286087e-05,2.0494071103e-04,0.0
0.9895071026,-0.0001283021,0.0,-6.7263570454e-05,1.2427679837e-04,0.0
0.9910546600,-0.0001010707,0.0,-6.7238603099e-05,3.4790654416e-04,0.0
0.9924798362,-0.0000779620,0.0,-5.4337560073e-05,2.4070977621e-04,0.0
0.9937822761,-0.0000586508,0.0,-4.8799421055e-05,2.8599661408e-04,0.0
0.9949616551,-0.0000428071,0.0,-6.5984595273e-05,3.5082155743e-04,0.0
0.9960176793,-0.0000300967,0.0,-7.1577952603e-05,2.3317474776e-04,0.0
0.9969500855,-0.0000201813,0.0,-7.5944214953e-05,2.2578821762e-04,0.0
0.9977586413,-0.0000127192,0.0,-4.9887047755e-05,2.6574936078e-04,0.0
0.9984431452,-0.0000073657,0.0,-6.5531088257e-05,2.5841983285e-04,0.0
0.9990034267,-0.0000037734,0.0,-7.2800948338e-05,2.2419730765e-04,0.0
0.9994393460,-0.0000015926,0.0,-7.3265684393e-05,3.3601484912e-04,0.0
0.9997507946,-0.0000004720,0.0,-5.2516276915e-05,3.3568753604e-04,0.0
0.9999376948,-0.0000000590,0.0,-6.4127453389e-05,2.1080664800e-04,0.0
1.0000000000,-0.0000000000,0.0,-1.0008843712e-04,2.5665341449e-04,0.0
