"""Inner_Iter""","""rms[P]""","""rms[U]""","""rms[V]""","""rms[k]""","""rms[w]""","""CD""","""CL""","""CEff""","""CMz"""
          33,        -5.833574449,        -6.333574449,        -6.133574449,        -6.833574449,        -6.633574449,         0.025942268,         0.479012059,        18.464540360,        -0.039806905
          34,        -5.851983003,        -6.351983003,        -6.151983003,        -6.851983003,        -6.651983003,         0.025783753,         0.481727193,        18.683362089,        -0.040159689
          35,        -5.905368500,        -6.405368500,        -6.205368500,        -6.905368500,        -6.705368500,         0.025701477,         0.482513795,        18.773777202,        -0.039422781
          36,        -5.906552490,        -6.406552490,        -6.206552490,        -6.906552490,        -6.706552490,         0.025536752,         0.483617230,        18.938087297,        -0.040104919
          37,        -5.905100707,        -6.405100707,        -6.205100707,        -6.905100707,        -6.705100707,         0.025716157,         0.484833834,        18.853276785,        -0.040010812
          38,        -5.929734661,        -6.429734661,        -6.229734661,        -6.929734661,        -6.729734661,         0.025596784,         0.485560482,        18.969589022,        -0.039889628
          39,        -5.932372722,        -6.432372722,        -6.232372722,        -6.932372722,        -6.732372722,         0.025523296,         0.486687264,        19.068354776,        -0.039857179
          40,        -5.920779791,        -6.420779791,        -6.220779791,        -6.920779791,        -6.720779791,         0.025493103,         0.487266561,        19.113662162,        -0.039604589
          41,        -5.937040939,        -6.437040939,        -6.237040939,        -6.937040939,        -6.737040939,         0.025445383,         0.487715610,        19.167155331,        -0.039757915
          42,        -5.944096907,        -6.444096907,        -6.244096907,        -6.944096907,        -6.744096907,         0.025456661,         0.488684451,        19.196722139,        -0.040073266
          43,        -5.960856440,        -6.460856440,        -6.260856440,        -6.960856440,        -6.760856440,         0.025382074,         0.489290205,        19.276998294,        -0.040074450
          44,        -5.950663946,        -6.450663946,        -6.250663946,        -6.950663946,        -6.750663946,         0.025313887,         0.489981258,        19.356223536,        -0.039947121
          45,        -5.960263519,        -6.460263519,        -6.260263519,        -6.960263519,        -6.760263519,         0.025328446,         0.490217494,        19.354424735,        -0.040003691
          46,        -5.965676945,        -6.465676945,        -6.265676945,        -6.965676945,        -6.765676945,         0.025301441,         0.491090238,        19.409576032,        -0.040035359
          47,        -5.966129329,        -6.466129329,        -6.266129329,        -6.966129329,        -6.766129329,         0.025260822,         0.491642002,        19.462628640,        -0.039984453
          48,        -5.970150005,        -6.470150005,        -6.270150005,        -6.970150005,        -6.770150005,         0.025237017,         0.492152915,        19.501231598,        -0.039985811
          49,        -5.973048212,        -6.473048212,        -6.273048212,        -6.973048212,        -6.773048212,         0.025228945,         0.492531940,        19.522494114,        -0.040000000
